0,78,11,5
0,76,170,25
0,30,198,48
0,56,71,25
0,70,108,51
0,56,292,59
0,84,174,48
1,90,56,18
1,50,173,58
1,58,144,23
1,74,44,10
0,86,200,58
0,5,221,16
1,2,183,6
1,74,34,21
0,48,188,17
1,89,289,40
0,60,277,10
1,15,72,39
0,91,40,9
0,70,207,28
1,6,226,37
1,76,295,18
1,45,274,1
0,85,59,4
0,75,66,7
0,28,251,24
0,16,51,36
1,97,16,16
0,68,150,5
1,23,277,34
1,36,194,43
0,44,56,11
0,64,211,42
1,37,259,29
0,82,97,58
0,1,169,60
0,74,111,36
1,67,169,10
1,75,9,42
1,31,131,34
1,6,66,7
0,69,293,6
1,49,201,39
0,44,273,2
0,70,53,47
0,58,29,11
1,3,218,17
1,58,221,29
1,96,102,6
1,54,277,1
1,24,4,8
0,54,24,39
1,87,65,57
0,76,198,53
1,86,217,49
0,37,259,27
0,94,266,8
1,89,267,18
0,25,21,3
1,94,218,19
0,14,237,20
0,5,0,51
1,95,158,42
0,59,280,58
0,21,232,15
1,32,63,27
0,90,203,34
0,74,56,26
1,18,121,22
1,71,61,28
1,49,3,57
0,48,28,35
1,14,168,33
1,67,113,8
1,38,290,17
1,26,153,22
0,26,287,4
0,15,105,2
0,98,285,1
1,47,266,22
1,16,286,7
1,3,223,6
0,83,273,31
0,14,47,27
0,40,80,13
0,26,70,2
0,59,65,9
0,60,282,30
1,34,203,40
0,30,164,17
1,91,146,1
1,9,203,9
1,16,180,11
0,21,214,1
1,100,291,50
0,49,100,38
1,28,200,26
1,23,181,5
0,96,73,21
1,98,127,34
1,86,57,16
0,76,119,31
1,84,52,53
1,73,81,37
0,68,278,7
1,100,298,12
1,55,137,49
0,58,267,27
1,29,131,24
0,100,5,16
1,44,40,5
0,79,39,2
1,28,115,6
0,25,129,3
0,66,102,24
1,70,27,8
0,99,130,59
1,74,131,3
0,29,106,27
0,49,244,22
0,35,228,29
0,61,285,31
0,23,69,7
0,89,71,9
1,99,147,42
1,22,110,44
0,83,117,41
1,89,229,27
1,69,25,8
0,78,179,28
0,31,237,7
1,56,130,16
1,99,296,53
0,47,110,14
1,88,116,37
1,71,3,27
0,11,167,17
0,6,138,22
0,67,58,15
1,73,13,16
0,14,274,15
1,8,268,51
1,42,179,30
0,29,152,25
0,42,224,22
1,42,110,39
0,88,294,19
0,15,215,34
0,27,215,36
1,52,93,14
0,1,171,38
0,95,53,12
0,91,235,47
1,1,66,26
1,95,178,7
1,99,119,41
0,63,50,29
0,91,175,17
1,66,205,45
1,100,78,47
0,32,163,10
0,25,19,7
0,44,69,34
0,1,12,48
0,11,264,8
0,33,95,41
0,13,201,35
0,9,201,39
0,38,53,30
0,35,20,15
